REGION,UDC,YEAR,VALUE
RE1,UDC_Margin,2022,0.0
RE1,UDC_Margin,2023,0.0
RE1,UDC_Margin,2024,0.0
RE1,UDC_Margin,2025,0.0
RE1,UDC_Margin,2026,0.0
RE1,UDC_Margin,2027,0.0
RE1,UDC_Margin,2028,0.0
RE1,UDC_Margin,2029,0.0
RE1,UDC_Margin,2030,0.0
RE1,UDC_Margin,2031,0.0
RE1,UDC_Margin,2032,0.0
RE1,UDC_Margin,2033,0.0
RE1,UDC_Margin,2034,0.0
RE1,UDC_Margin,2035,0.0
RE1,UDC_Margin,2036,0.0
RE1,UDC_Margin,2037,0.0
RE1,UDC_Margin,2038,0.0
RE1,UDC_Margin,2039,0.0
RE1,UDC_Margin,2040,0.0
RE1,UDC_Margin,2041,0.0
RE1,UDC_Margin,2042,0.0
RE1,UDC_Margin,2043,0.0
RE1,UDC_Margin,2044,0.0
RE1,UDC_Margin,2045,0.0
RE1,UDC_Margin,2046,0.0
RE1,UDC_Margin,2047,0.0
RE1,UDC_Margin,2048,0.0
RE1,UDC_Margin,2049,0.0
RE1,UDC_Margin,2050,0.0
RE1,UDC_Margin,2051,0.0
RE1,UDC_Margin,2052,0.0
RE1,UDC_Margin,2053,0.0
RE1,UDC_Margin,2054,0.0
