,COLOR,TIME,VALUE
99,ELC,2022,42.513729326295554
100,ELC,2023,43.9577835397386
101,ELC,2024,45.43234084238776
102,ELC,2025,48.866110984107
103,ELC,2026,53.38213986019455
104,ELC,2027,57.090725777914685
105,ELC,2028,60.80424700022223
106,ELC,2029,64.61539542790312
107,ELC,2030,68.21403615621776
108,ELC,2031,71.53553422530521
109,ELC,2032,74.77518131795058
110,ELC,2033,78.07488026058411
111,ELC,2034,79.89168774157125
112,ELC,2035,77.82384019529752
113,ELC,2036,76.74460206369642
114,ELC,2037,79.85716826047836
115,ELC,2038,87.34623389438173
116,ELC,2039,89.43598233455968
117,ELC,2040,91.53492081147417
118,ELC,2041,85.73432913601684
119,ELC,2042,88.68727515044586
120,ELC,2043,95.49657897107036
121,ELC,2044,95.44464312262924
122,ELC,2045,102.89882255894995
123,ELC,2046,106.2104295004904
124,ELC,2047,109.72881629712258
125,ELC,2048,112.20243570476634
126,ELC,2049,117.34311399107922
127,ELC,2050,121.41506127763842
128,ELC,2051,124.7753366304602
129,ELC,2052,128.0895667209136
130,ELC,2053,131.33971946746777
131,ELC,2054,134.6486848484172
198,LPG,2022,1.3937816706052344
199,LPG,2023,1.4406114680298578
200,LPG,2024,1.3601722437809216
201,LPG,2025,0.23603904897322808
202,LPG,2026,0.0
203,LPG,2027,0.0
204,LPG,2028,0.0
205,LPG,2029,0.0
206,LPG,2030,0.0
207,LPG,2031,0.0
208,LPG,2032,0.0
209,LPG,2033,0.0
210,LPG,2034,0.0
211,LPG,2035,0.0
212,LPG,2036,0.0
213,LPG,2037,0.0
214,LPG,2038,0.0
215,LPG,2039,0.0
216,LPG,2040,0.029976169584381
217,LPG,2041,0.0
218,LPG,2042,0.0
219,LPG,2043,0.0
220,LPG,2044,0.0
221,LPG,2045,0.0
222,LPG,2046,0.0
223,LPG,2047,0.0
224,LPG,2048,0.0183900507268074
225,LPG,2049,0.0
226,LPG,2050,0.0
227,LPG,2051,0.0
228,LPG,2052,0.0
229,LPG,2053,0.0
230,LPG,2054,0.0066312266157544
231,NGS,2022,14.361333750788049
232,NGS,2023,15.84193561876001
233,NGS,2024,16.345694018760074
234,NGS,2025,16.34500522707232
235,NGS,2026,15.361360685103204
236,NGS,2027,14.127572021717233
237,NGS,2028,12.887930726352911
238,NGS,2029,11.668336337758426
239,NGS,2030,10.44532424076648
240,NGS,2031,9.155639543969961
241,NGS,2032,7.854636160656379
242,NGS,2033,6.565540493961986
243,NGS,2034,6.5907954062642355
244,NGS,2035,10.4858415889991
245,NGS,2036,13.382829214455223
246,NGS,2037,12.054124204085191
247,NGS,2038,6.326770986128528
248,NGS,2039,6.298055682553482
249,NGS,2040,6.247473467230164
250,NGS,2041,14.328882522131941
251,NGS,2042,13.816927900535624
252,NGS,2043,9.648270761394295
253,NGS,2044,12.542143048156175
254,NGS,2045,8.127693653710471
255,NGS,2046,8.050700014964903
256,NGS,2047,7.951571509665416
257,NGS,2048,9.056425446649984
258,NGS,2049,7.70248774700129
259,NGS,2050,7.5655529339027785
260,NGS,2051,8.400923347865739
261,NGS,2052,9.434641422370131
262,NGS,2053,10.52644841548232
263,NGS,2054,11.6983144454309
